title,Creator,Publisher,date,Date is Approximate?,Description,subject,Keywords,Relation,Contributing Institution,Publisher Digital,Source,Listing Code,Resource Identifier,Format Original,format,type,Digitization Specifications,Rights,Standardized Rights,Language,Metadata Cataloger,Scanner Technician,Collection Administrator,Filename,OCLC number,Date created,Date modified,Reference URL,cdmid,CONTENTdm file name,CONTENTdm file path,objectid
Presented to Lionel Hampton,Governor Dirk Kempthorne,,2000,,"Medal.  2' Silver medal with geometric design on the obverse and engraved dedication on the reverse. Medal on red neck ribbon inside a blue box&lt;br&gt;To Lionel Hampton from Governor Dirk Kempthorne. Idaho, 2000","Plaques and Awards;Hampton, Lionel--Archives",,Lionel Hampton Library Collection,International Jazz Collections,University of Idaho Library,"IJC MG 001, Box 104",IJC001VI3,LH.VII.234,Medal,image/jpeg,Image;StillImage,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,Kevin Dobbins,Deborah Green and Nathan Bender,,668237112,2014-04-18,2014-04-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcs/id/4511,4511,4508.cpd,/ijcs/image/4508.cpd,ijcs4511
Presented to Lionel Hampton,Ville de Grenoble,,1988-05-18,,"Medal. 2 3/4' Bronze medal bearing on the obverse the seal of the 'Ville de Grenoble.' On the right it reads 'FIA.' On the reverse, engraved dedication. Edge marked 'Bronze Fia Ed.' It is inside a dark blue box. Inside the top of the box it reads 'F.I.A. Graveur Editeur Lyon-Dardilly'&lt;br&gt; To Lionel Hampton from the City of Grenoble. May 18, 1988","Plaques and Awards;Hampton, Lionel--Archives",,Lionel Hampton Library Collection,International Jazz Collections,University of Idaho Library,"IJC MG 001, Box 77",IJC001VI3,LH.VII.118,Medal,image/jpeg,Image;StillImage,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,Kevin Dobbins,Deborah Green and Nathan Bender,,668238043,2014-04-18,2014-04-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcs/id/4514,4514,4511.cpd,/ijcs/image/4511.cpd,ijcs4514
Presented to Lionel Hampton,Ville de Digne,,1990,y,"Medal. 2' Medal bearing on the obverse the seal of the 'Ville de Digne, Alpes de Haute Provence'. On the reverse, the inscription 'Offert par la Ville de Digne,' encircled by laurel. Edge marked with Cornucopia Cup Mint Mark, the word 'Bronze,' and date ['1984', '1954'?]. It is inside a blue plastic box","Plaques and Awards;Hampton, Lionel--Archives",,Lionel Hampton Library Collection,International Jazz Collections,University of Idaho Library,"IJC MG 001, Box 77",IJC001VI3,LH.VII.116,Medal,image/jpeg,Image;StillImage,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,Kevin Dobbins,Deborah Green and Nathan Bender,,668237075,2014-04-18,2014-04-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcs/id/4517,4517,4514.cpd,/ijcs/image/4514.cpd,ijcs4517
Presented to Lionel Hampton,Luzern,,1978,,"Medal. 1 1/8' Bronze medal bearing on the obverse the inscription '1178 Luzern 1978' and depicting the old city landmarks such as the Chapel Bridge with the name 'Brem' on the left. On the reverse, a map of the city. It is inside a blue hard plastic jewelry box. The outside top of the box reads 'Luzern'","Plaques and Awards;Hampton, Lionel--Archives",,Lionel Hampton Library Collection,International Jazz Collections,University of Idaho Library,"IJC MG 001, Box 77",IJC001VI3,LH.VII.114,Medal,image/jpeg,Image;StillImage,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,Kevin Dobbins,Deborah Green and Nathan Bender,,668237062,2014-04-18,2014-04-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcs/id/4520,4520,4517.cpd,/ijcs/image/4517.cpd,ijcs4520
Presented to Lionel Hampton,Beaulieu-Sur-Mer,,,y,Medal. 2 5/8' Bronze medal bearing a coat of arms encircled by the words 'Beaulieu-Sur-Mer' 'Pax in Pulchritudine'. On the reverse it depicts a landscape scene,"Plaques and Awards;Hampton, Lionel--Archives",,Lionel Hampton Library Collection,International Jazz Collections,University of Idaho Library,"IJC MG 001, Box 104",IJC001VI3,LH.VII.240,Medal,image/jpeg,Image;StillImage,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,Kevin Dobbins,Deborah Green and Nathan Bender,,668236293,2014-04-18,2014-04-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcs/id/4523,4523,4520.cpd,/ijcs/image/4520.cpd,ijcs4523
Presented to Lionel Hampton,,,1997,,"Medal. 2' Medal depicting on the obverse the American flag, the Washington Monument, and the Capitol, encircled by the words 'Republican Majority Medal.' On the reverse the medal depicts the bald eagle with its wings outstretched and the date 1997 in Roman numeral. It is inside a blue presentation box","Plaques and Awards;Hampton, Lionel--Archives",,Lionel Hampton Library Collection,International Jazz Collections,University of Idaho Library,"IJC MG 001, Box 104",IJC001VI3,LH.VII.237,Medal,image/jpeg,Image;StillImage,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,Kevin Dobbins,Deborah Green and Nathan Bender,,668238041,2014-04-18,2014-04-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcs/id/4526,4526,4523.cpd,/ijcs/image/4523.cpd,ijcs4526
Presented to Lionel Hampton,The City of New York,,1978-08-10,,"Medal. 2 3/4' Bronze medal bearing on the obverse a knelt female figure in the center with five standing up female figures on its right side, encircled with the words 'The City of New York' and five stars at the bottom. The name 'Michael Lantz' is on the right. On the reverse the medal depicts some of the city's landscape, a male figure in the sky, above the clouds lying on a Greek column, and a female figure at the right bottom surrounding an engraved central circle bearing the dedication. This circle is surrounded by the words 'Manhattan. Brooklyn. Queens. Bronx. Richmond' It is inside a dark blue box. The cover of the box also bears a dedication.&lt;br&gt;To Lionel Hampton from the City of New York. Edward I. Koch, Mayor. New York, NY,  Aug. 10, 1978","Plaques and Awards;Hampton, Lionel--Archives",,Lionel Hampton Library Collection,International Jazz Collections,University of Idaho Library,"IJC MG 001, Box 77",IJC001VI3,LH.VII.119,Medal,image/jpeg,Image;StillImage,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,Kevin Dobbins,Deborah Green and Nathan Bender,,668238088,2014-04-18,2014-04-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcs/id/4529,4529,4526.cpd,/ijcs/image/4526.cpd,ijcs4529
Presented to Lionel Hampton,City of Jersey City,,1979,y,"Key to the City. 12' Key with the mayor's name on one side of the stem and 'Jersey City N.J. ' on the other side&lt;br&gt;Ceremonial key to the City of Jersey City presented to Lionel Hampton. Thomas F. X. Smith, Mayor. Jersey City, NJ","Plaques and Awards;Hampton, Lionel--Archives",,Lionel Hampton Library Collection,International Jazz Collections,University of Idaho Library,"IJC MG 001, Box 84",IJC001VI3,LH.VII.176,Key,image/jpeg,Image;StillImage,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,Kevin Dobbins,Deborah Green and Nathan Bender,,668236308,2014-04-18,2014-04-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcs/id/4532,4532,4529.cpd,/ijcs/image/4529.cpd,ijcs4532
Presented to Lionel Hampton,American Chamber of Commerce for Brazil,,1986-12-04,,"Medal. 3' Silver medal bearing on the obverse the inscription 'American Chamber of Commerce for Brazil' and 'Sao Paulo'. On the reverse, engraved dedication. It is inside a cardboard box&lt;br&gt;To Lionel Hampton from the AMCHAM-SP on the occasion of his visit. Ṣo Paulo, SP.  Dec. 4, 1986","Plaques and Awards;Hampton, Lionel--Archives",,Lionel Hampton Library Collection,International Jazz Collections,University of Idaho Library,"IJC MG 001, Box 77",IJC001VI3,LH.VII.115,Medal,image/jpeg,Image;StillImage,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,Kevin Dobbins,Deborah Green and Nathan Bender,,668236298,2014-04-18,2014-04-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcs/id/4535,4535,4532.cpd,/ijcs/image/4532.cpd,ijcs4535
Presented to Lionel Hampton,Alabama Agricultural and Mechanical University,,1989-02-10,,"Certificate. 11'x8 1/2' Certificate with gold foil Seal of the Alabama A&M University and white and red ribbons in an 9 1/4'x11 3/4' red folder. Inside the front cover of the folder there is a print of a drawing of the Joseph F. Drake Memorial Library. The cover of the folder has the seal and the name of the university printed in white&lt;br&gt;To Lionel Hampton from the Alabama Agricultural and Mechanical University on the occasion of his performance at the Von Braun Civic Center, sponsored by the Lockheed-Aerojet Team in cooperation with Alabama A&M University to sponsor U.S. Space Camp scholarships for black and disadvantaged youths. Carl Harris Marbury, President. Huntsville, AL, Feb. 10, 1989","Plaques and Awards;Hampton, Lionel--Archives",,Lionel Hampton Library Collection,International Jazz Collections,University of Idaho Library,"IJC MG 001, Box 82",IJC001VI3,LH.VII.150,Certificate,application/pdf,Text,"300 dpi, 8-bit depth, color, Nikon D100 digital camera, Nikon Capture 4, Adobe Photoshop 7.0, Archival Master file is a TIFF","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,Michael Tarabulski and Laura Guedes,Kevin Dobbins,Deborah Green and Nathan Bender,,668236312,2014-04-18,2014-04-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ijcs/id/4539,4539,4536.cpd,/ijcs/image/4536.cpd,ijcs4539
